filename, language, JSON, Properties, JavaScript, Markdown, Dockerfile, TypeScript, HTML, CSS, Less, comment, blank, total
src\app\login\login.component.ts, TypeScript, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 8, 36
src\app\transaction.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
src\app\transaction.service.ts, TypeScript, 0, 0, 0, 0, 0, 69, 0, 0, 0, 10, 8, 87
src\app\user.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 4, 25
src\app\user.service.ts, TypeScript, 0, 0, 0, 0, 0, 50, 0, 0, 0, 13, 11, 74
src\app\user\user.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
src\app\user\user.component.html, HTML, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
src\app\user\user.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 6, 97
src\app\user\user.component.ts, TypeScript, 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 7, 65
src\app\userdetail\userdetail.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
src\app\userdetail\userdetail.component.html, HTML, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 6, 74
src\app\userdetail\userdetail.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 9, 105
src\app\userdetail\userdetail.component.ts, TypeScript, 0, 0, 0, 0, 0, 143, 0, 0, 0, 1, 12, 156
src\app\website.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
src\app\website.service.ts, TypeScript, 0, 0, 0, 0, 0, 57, 0, 0, 0, 11, 10, 78
src\app\website\website.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
src\app\website\website.component.html, HTML, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
src\app\website\website.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 6, 81
src\app\website\website.component.ts, TypeScript, 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 6, 53
src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 0, 3, 0, 0, 0, 11, 3, 17
src\index.html, HTML, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
src\karma.conf.js, JavaScript, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 2, 33
src\main.ts, TypeScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
src\polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 1, 0, 0, 0, 55, 8, 64
src\styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
src\test.ts, TypeScript, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
src\theme.less, Less, 0, 0, 0, 0, 0, 0, 0, 0, 360, 113, 71, 544
src\tsconfig.app.json, JSON, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 12
src\tsconfig.spec.json, JSON, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
src\tslint.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
tsconfig.app.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
tsconfig.json, JSON, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
tsconfig.spec.json, JSON, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
tslint.json, JSON, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
Total, -, 10954, 44, 82, 209, 5, 3415, 668, 365, 360, 474, 592, 17168
